Text,Toxic/Not Toxic
علي #العالم أن يؤدب هذه الدوله المجنونه إيران ويوقف قرصنتها لسفن العالم في المياه الدوليه #إيران تمارس الان مامارسه هتلر في زمانه عندما أزعج الدنيا وأضر بالسلم العالمي علي #أمريكا حليفه العالم والعدل الدولي أن توقف مجاملتها وإنبطاحها لهذا النظام المجرم المهدد للسلم العالمي,1
إسرائيل هي اوهن من بيت العنكبون,1
‏إذا تمكنت من اكتشاف الحيوان الثاني الموجود بالصورة خلال 20 ثانية؛ فأنت من الواحد بالمئة الأذكى في العالم ,0
هذه صفحة فتن لعنة الله عليكم,1
"#رايك_ف_بنات_مصر
نصهم متناكين وفاكرين دا اوبن مايند
وربعهم محترمين
وربعهم حيحانين ومش عارفين هما شمال ولا يمين",1
فيه شرموطه مصريه اسمها رحاب ابوها مصور الاسكندريه النخيل نيك امك علي اي ابن لبوه معاك طبعا مخصي ذيك ذي وزير الدفاع ذي بلحه لو دكر اطهر واقول انا عنتر قبه راجل خول لو خليتك علي الحياه ثنيه,1
"#ال_سعود

حب #الوطن يجري في دماء اطفالنا وهذي هي ابنتي الصغيرة تردد قصيدتي بالوطن وارسلتها لي وهي لم يتجاوز عمرها ٧ سنوات بصوتها الطفولي 

هذا هو #حب_الوطن الحقيقي الذي يجب ان نزرعه في اطفالنا 

ولاتنسون ذكر الله وقولو ماشاء الله",0
ده انا هعمل منك كل يوم محتوى ي داني ي متnاك مش هيبقى ورايا غيرك من هنا ورايح ي عرص 💙,1
شعب متناك بطبعه,1
"‏تمارين قوية للابهر للناس اللي تشتكي من الابهر 
طبتم بخير والف سلامة

فضلها راح تحتاجها ♥",0
كس امك يابن الشرموطة كس امك يا ابن القحبة كس امك يا ابن الوسخة كس امك يا ابن المتناكة كس امك على كس ام اللي بيحموك على كس امك الي واقفين معاك يا عرص يا خول يا شرموط يا متناك يا ديوث,1
قاتلهم الله الصهاينة قاتلهم الله ليس في الصهاينة خير قتلوا الأنبياء عليهم اللعنة من الله والملائكة والناس أجمعين يارب العالمين 🐖🐖🐖🐖🦍🦍🦍,1
الدكتور بتاع الماده غير  الاسئله اللي بتيجي بصمجة بقالها 3سنين وحط اسئله جديده في امتحان انهاردة,0
‏البسكوته الرابعه من تحت دي ... دي وجهة نظري في البيت ‎,0
خلي حكام العرب تشوف فعلاً اسأل ساقط عن ساقط يقولك زلمه,1
"اللهم بارك بإثيوبيا 20 ألف من الحضور 

لمسابقة أفضل مقرئ للقرآن الكريم !

والمغربي من مدينة وجدة يفوز بالمركز الأول 

🇲🇦🥇
#القران_الكريم 
#المغرب 
#وجدة",0
لا وفيه خولات مصريين عايمين على عوم السعودية وبيقولك ايران السبب ! ايران اكتر دولة ماتلها ناس في المصيبة دي ! التعريص السني الوسطي الجميل !,1
"بسرعه قولوا ماذا قيل في حُب الأخت 🥹؟
",0
