Text,Toxic/Not Toxic
@AhmadMoussaly @DimaSadek اي نحن ما منقبلها صرماية بإجرنا ...مبروك.ع راسكم,1
@berrynawal نوال شو قصتك كل يوم بتاكلي قتله شو صاير معك شي اليوم طمنينا عنك .,0
@DimaSadek انشالله بيقبر قلبك عن قريب ...يافهيمة عصرك,1
@DimaSadek @LBCI_NEWS @JeanFeghali يسلم لسانك من مصر يا ديما نحن معك,0
"@RammalNaima @DimaSadek من بجيب الحشيش عبيروت ؟ 
بعلبك يعني انتو",0
@DimaSadek فعلاً الثورة أنثى، برافو ديما,0
@berrynawal يخرب بيتك حبيتك,0
@DimaSadek انك بكل تواضع سفيهة منحطة عديمة المبدأ، ويجوز فيك القول بل يجب انك وضيعة، لست إلا مأمورة غبية تحتاجين ال… https://t.co/B68FXaFNex,1
@DimaSadek ضبي لسانك احسنلك ��,1
@DimaSadek يا حمارة يا صهيونية يا عاهرة هؤلاء بفضلهم انت لست في خضن تكفيري الا اذا كنت تحبين النغير,1
@DimaSadek كلنا #ديما_صادق ، #لبنان_ينتفص #انتو_احلى_عالم,0
RT @AkramHamade: إمرأه بكل رجالهن و زعمائهم. كلمة الحق لما تفعل فعلها بفئه ظالميه مستعبده. كلنا معك. انت بتقوينا #كلنا_ديما_صادق @DimaSadek,0
@Jessicaazar آه يا حنونة انت    ال ١٣ يوم من قطع الطرقات ما ابكتكي المهم ان تبكي متأخرة من ان لا تبكي,0
@DimaSadek ديما لحزب وقع طيارة لأهلك بقصد إسرائيلي,1
@berrynawal ابكي بترتاحي,1
@DimaSadek السيد يا حمارة,1
@DimaSadek انشا الله ليقبر قلبك,1
@RemmyDerbass @DimaSadek بتاخدي العقل، الله يحميكي ويعطيكي العافية,0
@bird99_b @DimaSadek بس يا بهلة,1
@yumnafawaz لو حدا غيرك يلّي حاطت التغريدة كان ممكن فكّر اتأكّد من صحّة الخبر. بس إنت شهادتك مجروحة بالحقد الأعمى على #حزب_الله,0
@DimaSadek انت دائما تمثلين المرأة الحرة التي تتمتع بالنقد البناء والتي تدافعين عن قضايا هذا المجتمع. فتحية لك و لكل حر مستقل في هذا البلد.,0
@JadHSaad1 @DimaSadek ما فهمانة هالمخلوقة كيف بيعتبروها صحفية,0
@DimaSadek يا مريضة موتي,1
"@DimaSadek قال لن يسقط العهد يا حمارة 
#ديما_الواطية �",1
@berrynawal لما تكوني عمتشتغلي ب قناة فتنويه واعلام موجه ضد (بيئتك ) فئة معينه ، بدك تتحملي ردود الفعل . عفكرا كنت مفكرك احسن من هيك,0
@DimaSadek انشالله بيقبرك إنتي وعيلتك�,1
@DimaSadek انا ضد تناول الأشخاص بعائلاتهم، معيب هل شعار برأي ... خلونا نخلي اللغة حضارية,0
@DimaSadek قال لا نؤيد حاجي تحريف يا #ديما_الواطية,1
@DimaSadek يلعن شرفك بصباطي يا شرشوحه,1
@yumnafawaz يا ريت اكلتي شي كف عا نيعك,1
@DimaSadek اولاً الاحترام واجب السيد حسن غصبن عن رأسك مش حسن لانك إعلامية بدون احترام,1
@berrynawal سلامة قلبكن,0
@DimaSadek Bravo يا شاطرة، الله يحمي لبنان,0
